,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
344,xingyi,90,CN,1578272756,96,24.19,102.82,53.24,4.97
345,khash,98,IR,1578272756,89,28.22,61.21,52.7,22.08
346,gavle,78,SE,1578272756,90,60.67,17.14,34.0,4.0
347,haines junction,44,CA,1578272756,87,60.75,-137.51,-6.66,4.76
348,rock springs,75,US,1578272756,79,41.59,-109.2,24.8,26.4
349,avera,1,US,1578272756,70,33.19,-82.53,50.0,7.54
350,ambon,0,FR,1578272167,86,47.55,-2.56,43.0,8.05
351,port macquarie,90,AU,1578272610,64,-31.43,152.91,87.01,8.05
352,fort nelson,75,CA,1578272757,69,58.81,-122.69,-9.4,4.7
353,dudinka,75,RU,1578272757,92,69.41,86.18,21.2,29.08
354,gamba,1,CN,1578272757,21,28.28,88.52,3.09,1.03
355,ngunguru,56,NZ,1578272757,57,-35.62,174.5,70.0,14.0
356,bilma,61,NE,1578272757,31,18.69,12.92,52.16,6.22
357,bonavista,100,CA,1578272757,96,48.65,-53.11,29.26,34.45
358,cayenne,90,GF,1578272600,83,4.94,-52.33,78.8,3.36
359,kodarma,0,IN,1578272757,72,24.47,85.59,51.73,3.8
360,dordrecht,90,NL,1578272758,87,51.8,4.68,45.0,10.29
361,turukhansk,100,RU,1578272758,94,65.8,87.96,22.55,14.83
362,podor,0,MR,1578272758,42,16.65,-14.96,64.4,4.7
363,mga,83,RU,1578272758,85,59.76,31.06,25.0,2.24
364,nanortalik,20,GL,1578272758,86,60.14,-45.24,26.82,10.38
365,blind river,90,CA,1578272758,100,46.19,-82.96,32.0,9.17
366,camacha,40,PT,1578272758,72,33.08,-16.33,62.6,10.29
367,bayanday,39,RU,1578272758,96,53.07,105.52,3.04,1.97
368,fortuna,1,US,1578272759,76,40.6,-124.16,53.6,6.93
369,newberry,90,US,1578272759,92,46.35,-85.51,30.2,6.93
370,mandalgovi,10,MN,1578272759,94,45.76,106.27,3.29,9.28
371,vostok,76,RU,1578272759,95,46.45,135.83,-0.51,2.06
372,pisco,28,PE,1578272144,83,-13.71,-76.2,71.6,18.34
373,berlevag,75,NO,1578272584,79,70.86,29.09,23.0,8.05
374,broken hill,40,AU,1578272759,77,-31.97,141.45,59.0,21.92
375,laguna,75,BZ,1578272759,73,16.17,-88.94,73.4,5.61
376,kendari,100,ID,1578272760,94,-3.99,122.52,77.04,1.68
377,gazimurskiy zavod,100,RU,1578272760,94,51.55,118.33,5.5,3.11
378,thinadhoo,90,MV,1578272760,73,0.53,72.93,83.48,7.58
379,abrau-dyurso,75,RU,1578272760,93,44.7,37.6,42.8,6.71
380,meulaboh,27,ID,1578272760,81,4.14,96.13,79.95,7.45
